# Synonym groups for interactive-fiction verbs.  GENERATED; do not hand-edit.
#
# Regenerate with `verb-synonyms-gen` — see crates/verb-synonyms-gen/README.md.
# Derived from WordNet 3.0 (Princeton University) and the 12dicts 6.0.2
# lemmatized frequency list (Alan Beale, under the AGID terms).  The notices
# both licences require are in THIRD-PARTY-NOTICES.md at the repository root.
#
# FORMAT: one group per line, members separated by TABS.  There is no key
# column — every member is equal, and a word may appear in SEVERAL groups, one
# per sense.  A tab is the separator because a member may itself contain a
# space (`turn on`), and no dictionary word contains a tab.
#
# A group is one of two things, and neither is ever merged with the other:
#
#   * ONE VERB ENTRY some stories declare — the spellings a game's own author
#     wrote on a single verb, which is that author saying these words are one
#     action.  Believed only where several stories agree, and greppable in
#     crates/verb-synonyms-gen/if_groups.tsv, which is where a row's provenance
#     can be looked up: this file is members and nothing else.
#   * ONE WORDNET SYNSET, filtered to words a player might type, plus — where a
#     synset no story could match has a hypernym that one can — that synset
#     unioned with its immediate hypernym.  Exactly one hop, never chained.
#
# WHERE THE TWO DISAGREE, THE GAMES WIN.  A game-derived group comes before
# every synset containing the same word, because a game author writing
# `Verb 'examine' 'x' 'inspect'` has stated what a word means IN A PARSER, and
# that is the only question this table asks.  WordNet is not overruled, only
# outranked: its groups still follow, and reach a story that implements a word
# no game in the corpus grouped.
#
# AT LOOKUP, two rules define what this data means:
#   1. Lemmatise the player's word FIRST.  Members are base forms, because an IF
#      parser accepts the imperative; `illuminated` never arrives here, and if
#      the consumer skips this step a miss looks like a hole in the data instead
#      of a missing step in the caller.
#   2. Intersect the group with THIS story's dictionary and show only what
#      survives, then drop the word the player actually typed — it is in the
#      group by construction and it is the one word known to have failed.
#
# LINE ORDER IS SIGNIFICANT — DO NOT SORT THIS FILE.  The groups containing any
# given word appear best-guess first: that word's game-derived groups, then its
# synsets in WordNet's own sense order, commonest sense first.  A consumer can
# therefore walk them and stop after three or four dictionary matches.  Sorting
# the file alphabetically destroys that signal silently.  Member order within a
# line is significant too: verbs the corpus actually uses come first, commonest
# first.
#
# Built with: sense-cap 6 band-cap 16 group-cap 12 hyponym-cap 25 gap-fill true
#             game-support 2 game-group-cap 13
# From 15454 harvested IF spellings, 2467 of which WordNet knows as verbs.
# 3467 groups, 12298 memberships.
accuse	impeach	incriminate
admire	look up to
flood	flow
hang	attend	advert	give ear	pay heed
fall off	fall away
fasten	tighten	firm
fasten	secure	fix
secure	assure	ensure	guarantee	insure
plug	secure	stop up
plug	plug away
punch	plug
punch	perforate
penetrate	perforate	storm
secure	batten	batten down
fate	designate	destine	doom
plan	designate	destine	intend	specify
feed	feed in
feel	find
feel	sense
find	see	seen	witness
find	retrieve	access	recover	regain
image	picture	see	envision	fancy	figure	project	visualize
return	turn back	go back	recover	recuperate	regress	revert
recycle	reclaim	recover	reprocess	reuse
reform	reclaim	rectify	regenerate
reform	see the light	straighten out
restore	regenerate	rejuvenate
see	view	consider	expect	reckon	regard
see	view	consider	receive	reckon	regard
see	view	consider	include	reckon	regard
take to	fancy	go for
think	consider	believe	conceive	reckon	regard
feel	congratulate	experience	plume	pride
feel	experience	suffer
feel	experience	joy	rejoice
feign	assume	sham	simulate
fell	vanish
fight	fight down	defend	fight back	oppose
fight	contend	oppose	struggle
fight	box	contend	struggle
fight	contend	struggle	wage
fight	labor	struggle
try	attempt	seek	assay	essay	struggle
shin	scramble	skin	clamber	sputter	struggle
scramble	jumble	throw together
fight off	repel	drive back	rebuff	repulse
repel	snub	rebuff
repel	gross out	disgust	revolt
gross out	freak	freak out
fill	fill up	make full	prime
fill	crowd	occupy
fill	meet	fulfill	satisfy
fit	meet	conform to	fulfill	live up to	satisfy
fill out	flesh out	round
fill out	round out
fill out	eke out
fill out	pad
fill out	fat	fatten	fatten out	fatten up	flesh out	plump	plump out
squeeze out	eke out
find	find out	ascertain	determine	sequence
find	discover	detect	observe	notice
find	bump	chance	encounter	happen
finger	thumb
fire	discharge	go off
fire	kindle	raise	arouse	elicit	evoke	provoke	shame
fire	kindle	raise	arouse	elicit	evoke	overcome	overpower	overtake	overwhelm	provoke
fire	kindle	raise	arouse	elicit	evoke	interest	provoke
fire	dismiss	force out	can	send away	terminate	displace	give notice	give the sack	sack
move	displace
notify	advise	give notice	send word
proceed	move	go	venture
keep	continue	proceed	go along	go on
move	be active
rouse	drive out	force out	rout out
force out	crowd out
force out	evict
fish	angle
fit	equip	fit out	outfit	stock
fit	equip	fit out	instrument	outfit
fit	equip	appoint	fit out	outfit
fit	equip	fit out	outfit	wire
fit	equip	adorn	clothe	fit out	invest	outfit
fit	equip	commission	fit out	outfit
fit	match	balance
match	meet	cope with
fix	repair	mend	restore	touch on	bushel	doctor	piece
fix	repair	mend	restore	touch on	bushel	doctor	sole
mend	heal
heal	cure	bring around
restore	reestablish	reinstate
fix	pay off	pay back
fix up	arrange
flash	flaunt	show off
flick	jerk
flick	ruffle
mix	shuffle	ruffle
fling	sky
fling	splurge
flip	twitch
pinch	nip	tweet	twinge	twitch
pinch	crimp
toss	pitch	flip	sky
pitch	lurch
pitch	peddle	hawk	vend
toss	chuck
toss	slash	convulse	thrash	thrash about
slam	slam dance	thrash
lick	bat	clobber	cream	thrash
lick	work	solve	figure out	puzzle out	resolve	work out
lick	lap	lap up
slam	flap down
toss	fling	discard	throw away	toss away	throw out	toss out	cast out	cast away	put away	chuck out	cast aside	dispose
put away	imprison	incarcerate	jail	jug	lag	remand
put away	put to sleep
put away	tuck away	tuck in
put away	put aside
throw out	boot out	drum out	expel	kick out	oust
flip	flick	leaf	riff	thumb
flirt	butterfly	mash	romance	chat up
flood	glut
flourish	boom	expand	thrive
grow	boom	expand	thrive
flourish	fly high	prosper	thrive
grow	branch
grow	prove
flush	scour	purge
vomit	barf	puke	retch	chuck	throw up	cat	honk	spew	upchuck	be sick	purge	sick	vomit up
flush	level	even	even out
fly	wing	flight
fly	pilot	jet
fly	flee	take flight	defect	desert
focus	sharpen
follow	pursue	dog	give chase	go after	tag	tail
pursue	go after	quest after	quest for
pursue	act on	follow up on
follow	come
fondle	caress	nose
fool	fool around	arse around	horse around
fool around	play around
play around	dabble
force	impel
force out	squeeze out	eject	squirt
free	release	unblock
free	dislodge
free	release	give up	resign	relinquish
give up	resign	vacate	renounce
free	rid
free	release	liberate	loose
liberate	set free
free	discharge
free	relieve	exempt	forgive
fuck	screw	bang	hump	know	love	make out	sleep with	make love	have sex	be intimate	bed	do it	fucking	get it on	have a go at it	have intercourse	have it away	have it off	jazz	lie with	roll in the hay	sleep together
make out	fill in	complete	fill out
screw	drive in
screw	cheat	jockey	shaft
gamble	adventure	chance	hazard	risk	run a risk	take a chance
try	attempt	seek	adventure	assay	chance	essay	hazard	risk	run a risk	take a chance
try	attempt	seek	assay	essay	lay on the line	put on the line	risk
get	have	experience	receive	suffer	sustain
get	acquire	grow	develop	produce	stock
get	catch	arrest
win	acquire	gain
learn	acquire
get	let	have
get	obtain	incur	receive
get	come	arrive
get in	make it	arrive	go far
get in	move in	pull in	draw in
obtain	prevail
pull in	collect
pick up	call for	collect	gather up
rent	lease	let
get	become	go
turn	become	add up	amount
turn	reverse	change by reversal
turn	move around
move around	travel
turn back	reverse	invert
get	make	have	stimulate	cause	decide	induce
get	make	have	stimulate	cause	encourage	induce
get	make	have	stimulate	cause	induce	inspire	instigate	prompt
get across	get through	penetrate	come home	dawn	fall into place	sink in
penetrate	infiltrate
get down	cast down	depress	deject	demoralize	dismay	dispirit
scare	frighten	alarm	appall	dismay	fright	horrify
warn	alarm	alert
warn	admonish	discourage
get off	get out	escape	get away	get by
get off	send	send off
send	commit	charge	institutionalize
send	broadcast	transmit	air	beam
turn on	rouse	charge	excite	agitate	charge up
load	charge
load	stretch	debase	dilute	doctor	doctor up	sophisticate
turn on	wind up	excite	sex
get off	turn on	trip	trip out
get off	mail
get off	hop out
get off	light	get down	dismount
swallow	get down
swallow	bury	eat up	immerse	swallow up
get on	advance	come on	come along	get along	progress	shape up
get on	be on
get on	climb on	jump on	hop on	mount	mount up
get on	board
get on	get along	get along with	get on with
get out	get around
get out	bring out
get over	master	overcome	subdue	surmount
get up	turn out	arise
get up	attire	deck out	deck up	dress up	fancy up	fig out	fig up	rig out	trick out	trick up
get up	work up
get up	cram	bone	bone up	drum	grind away	mug up
get up	organize	organise	devise	prepare
ghost	haunt	haunting	obsess
haunt	frequent	haunting
haunt	stalk	haunting
travel to	visit	frequent
give	pay	devote
give	feed	corn
give	feed	lunch
give	feed	breakfast
give	contribute
give	cater	ply	supply
give	administer	distribute	allot	deal out	dish out	dole out	lot	mete out	parcel out	shell out
give	render	supply
provide	cater	ply	staff	supply
provide	cater	ply	regale	supply	treat
respond	react	treat
respond	decline	react
serve	staff
give	hold	have
give	hand	pass	turn over	pass on
turn over	knock over	tip over	upset	bowl over	overturn
reverse	override	overrule	overthrow	overturn
roll	turn over
roll	bowl	wheel
roll	undulate
roll	roll out
roll out	straighten
wave	flap	undulate
wave	curl
give	award
give	afford	yield	allow	allow for
give in	yield	buckle under	knuckle under	succumb
give out	pass out	distribute	hand out
pass out	black out
run out	give out	fail
run down	run out	peter out	poop out
give up	abandon
kick	give up
give up	surrender	cede
give up	part with	spare	dispense with
gobble up	shovel in	bolt down	garbage down
grab	seize
grab	catch	net	take hold of
grab	snap up
grant	yield	concede	forgive
grant	accord	allot
grant	allow
grant	award
grant	yield	cede	concede
yield	relent	soften
move over	yield	ease up	give way
grip	grapple
grip	fascinate	spellbind	transfix
hypnotise	hypnotize	entrance	mesmerize	spellbind
groom	train	dispose	prepare	qualify
grow	culture
grow	mature
grow	twin
growl	grumble	rumble
guess	infer
guess	approximate	assess	estimate	gauge	judge
guess	pretend	anticipate	foretell	hazard	predict	promise	venture
guess	pretend	hazard	surmise	suspect	venture
look for	look to	anticipate
pretend	make believe
pretend	profess
stake	adventure	hazard	jeopardize	venture
hail	acclaim	herald
halt	staunch	stem
hatch	brood	incubate
hatch	think of	concoct	cook up	dream up	fabricate	manufacture	think up
have	possess	own
have	feature	unite
have	feature	imply	involve
head	lead	chair	chairman
head	lead	captain
head	head up
hear	try
listen	hear	take heed
listen	mind	heed
mind	beware
mind	bear in mind
try	try on
heat	heat up	hot up
screw up	heat up	hot up
hop up	hot up	soup up
heave	gag	retch	hove
heave	buckle	warp	hove
heave	heave up	heft	heft up	hove
heave	billow	hove	surge
inflate	balloon	billow
puff	heave	gasp	pant	hove
puff	puff up
soar	zoom	soar up	surge
soar	hang glide
help	serve
serve	dish	dish out	dish up	serve up
provide	cater	dish	dish out	dish up	ply	serve up	supply
provide	cater	fulfill	ply	satisfy	supply
hit	shoot	grass
shoot	flight
shoot	blast
shoot	film
shoot	flash	dart	dash	scoot
hit	strike	run into	bottom	collide with	impinge on
penetrate	bottom	fathom
hit	strike	run into	collide with	glance	impinge on
hit	strike	come to
murder	hit	slay	dispatch	off	polish off	bump off
murder	mutilate	mangle
mutilate	mar
run into	run across	meet	come across	encounter
meet	get together
join	fall in	get together	unify	unite
join	bring together	couple	mate	pair	twin
join	bring together	fair
meet	breast	converge
hit	make	reach	access	arrive at	attain	gain	get at
hit	make	reach	arrive at	attain	gain	peak	top out
hit	make	reach	arrive at	attain	breast	gain	summit
hit	make	reach	arrive at	attain	gain	top
hit	make	reach	arrive at	attain	gain	ground
reach	reach out
throw	ground
throw	ridge
win	advance	gain	gain ground	get ahead	make headway	pull ahead
win	succeed	come through	bring home the bacon	manage
hitch	jerk	buck
hitch	hitchhike	thumb
hold	check	hold in	control	confine	contain	curb	limit	moderate	restrain	restrict
hold	take for	deem	view as
hold	bind	article	obligate	oblige
tie	bind	band
ring	band
hold	agree	conclude	concur	resolve
hold	have	maintain	sustain
hold	hold up	support	pole	sustain
hold	carry	bear	balance	poise
hold	entertain	nurse	harbor
shield	harbor
hold	have	exert	maintain
hold	have	stock	stockpile
hold	carry	bear	acquit	conduct	deport
hold	hold up	brave	brave out	defy	endure	weather	withstand
refuse	resist	defy
refuse	deny
tip	tilt	lean	angle	slant	weather
sail	weather
tip	tiptoe
tap	tip
tap	exploit	mine
tap	bug	intercept	wiretap
knock	rap	tap	pink
knock	ping	pink
tap	beg	lobby	solicit
tip	tip off
traverse	deny
woo	court	romance	solicit
hold back	keep back	retain
hold in	conceal	hold back
hold close	cling to	clutch	hold tight
hold in	border	confine	enclose
hold in	confine	enclose	frame
shut in	close in	case	encase	enclose
shut in	close in	border	enclose	frame	frame in
shut in	close in	enclose	glass	glass in
hold on	keep	hive away	salt away	stack away	stash away	store
hold on	keep	retain
keep	prevent
keep	continue	keep on	retain
keep up	prolong	retain	sustain
keep up	preserve	conserve	maintain
keep up	keep abreast
hold out	put out	extend	stretch out	stretch forth
hold out	resist	stand firm	withstand
put out	douse
put out	release	bring out	issue	publish
release	eject	discharge	eliminate	exhaust	expel
release	secrete
stretch out	crane
hold up	delay	detain
hold up	stick up
stand up	stick up
stand up	hold up	hold water
hone	perfect	round	round off
hook	knock off	glom	cop	snitch
pinch	swipe	filch	hook	sneak	abstract	purloin	cabbage
steal	cop	snitch
steal	slip
slide	slip	skid	slew	slid
slide	slid	slither
slip	drop off	drop away	fall away
slip	err	mistake
sneak	slip
toss off	fling off	knock off	scratch off	dash off
toss off	pour down	down	drink down	belt down	bolt down
hover	brood	bulk large	dominate	eclipse	loom	overshadow
pout	brood	sulk
mop	pout	mow
shadow	dwarf	overshadow
hurl	cast	bowl	hurtle
hurl	thrust	lunge	hurtle
hurt	ail	pain	trouble
hurt	anguish	pain
hurt	injure	wound	offend	bruise	spite
upset	anguish	disconcert	pain
hurt	ache	suffer
long	yearn	ache	languish	pine	yen
hurt	ache	smart
ignite	combust	catch fire	erupt	take fire
imbibe	assimilate
impress	ingrain	instill
impress	boss	emboss	imprint
print	impress	letter
increase	up
increase	amplify	expand
increase	accumulate	amass	conglomerate	gather
increase	compound	deepen	heighten	intensify
increase	appreciate
indicate	register
inform	evidence
ingest	consume	take in	have
inquire	enquire	wonder
inquire	enquire	investigate
question	wonder
wonder	marvel
insert	stick in	sneak in	slip in
put in	insert	stick in	introduce	enclose	glass
put in	insert	stick in	introduce	cup	enclose
insert	tuck
introduce	bring in
put in	lay in	hive away	salt away	stack away	stash away	store
instal	install	induct	invest	seat
instal	install	invest	vest
interpret	profile	represent
interpret	mock up	model	represent
interpret	chart	graph	represent
play	act	represent
play	toy	flirt
invent	contrive	devise	forge	formulate
invent	make up	cook up	fabricate	manufacture
make up	correct	compensate	counterbalance	even off	even out	even up
jog	even up	square up
jog	clip	trot
repair	compensate
itch	spoil
rape	plunder	spoil	violate
jam	ram	cram	wad
jam	pack	pile	mob	throng
pack	load down
join	conjoin	couple	mate	pair
join	conjoin	piece
join	bring together	piece	put together	tack	tack together
set up	assemble	compound	piece	put together	tack	tack together
keep	preserve	salt
keep	preserve	corn
keep	hold back	keep back	contain	curb	moderate	restrain
tame	moderate	tone down
keep apart	isolate	sequester	set apart
keep back	freeze	immobilize	withhold
keep back	reserve	withhold
put under	put out	freeze
set aside	allow	appropriate	earmark	reserve
set aside	suspend
keep down	reduce	quash	repress	subdue	subjugate
subject	subjugate
subject	submit
knead	massage	rub down
knock	blame	criticize	find fault	pick apart
knock	criticize	pick apart	round	snipe
knock down	pull down	push down	cut down	down
knock down	dump	deck	floor
knock off	shave
shave	plane
skim	plane
skim	skim over
run down	skim	scan	rake	glance over
rake	crease	graze
run down	exhaust	play out	sap	tire
skip	skim	skitter
smooth	plane
smooth	sand	sandpaper
know	acknowledge	recognize
kowtow	fawn	suck up
label	pronounce	convict	judge
label	pronounce	judge	rule
label	pronounce	judge	qualify
try	adjudicate	judge
sample	taste	try	try out
settle	adjudicate	decide	judge	resolve
settle	concert	determine	square off	square up
settle	compromise	determine	square off	square up
land	set down	beach
put down	place down	set down
put down	lay	repose
put down	land	bring down
put down	take down	degrade	demean	disgrace
pull down	take down	tear down	level	dismantle	raze
put down	set down	drop off	discharge	unload
put down	destroy
put down	get down	set down	write down
start	begin	get down	commence	set about	set out	start out
start	begin	lead off	commence
take apart	break up	break apart	disassemble	dismantle
sever	break up
sever	lop
take apart	dismember
land	set ashore	shore
prop	prop up	shore	shore up
land	ground	strand
lay out	set up
set up	arrange
set up	ensnare	frame
lead on	deceive	delude	frame
put	couch	frame
trap	ensnare	snare
pin	trap	immobilize
lay out	range	array	set out
take off	set off	start	depart	part	set forth	set out	start out
part	divide	section	segment	separate
part	divide	isolate	separate	sequester	set apart
part	divide	joint	separate
set off	bring out
split	divide	split up	carve up	lot	separate
sort	sort out	assort	class	classify	isolate	separate
split	cleave
start	initiate	originate
lead up	initiate
start	start up	embark on	commence
take off	lift off
take off	take time off
lay over	develop	superimpose
lead	result
run	lead	extend	pass	go
pass	fall out	come about	go on	hap	happen	occur	pass off	take place
move on	advance	go on	march on	pass on	progress	string	string along
move on	advance	edge	go on	march on	pass on	progress
pass	spend	soldier
pass	spend	weekend
pass	spend	holiday	vacation
run	feed	course	flow	gush	jet
run	feed	course	flow	stream	well out
throw out	advance
throw out	dismiss
lean	list
list	heel
list	number
learn	con	memorize
leave	leave alone	leave behind
leave	exit	get out	go	go away	go out
leave	desert	go away	go forth
leave	desert	desolate	forsake
waste	devastate	desolate	lay waste to	ravage	scourge
waste	rot
leave	provide	allow	allow for
let	allow	brook	countenance	digest	endure	permit	stomach	suffer	tolerate
let	admit	allow	countenance	include	permit
let	allow	countenance	favor	permit	privilege
let	admit	allow	allow in	countenance	permit
let go	release	let go of	relinquish
let in	admit	allow in
let in	admit	include	involve
let loose	loose	unleash
loosen	loose
let out	widen
level	level off
license	licence	accredit	certify	recognize
lift	reverse	vacate	annul	overturn	repeal	rescind	revoke
lift	raise	elevate	get up	bring up	shoulder
thrust	shoulder
lift	hoist	wind
run up	hoist
sew	stitch	run up	gather	pucker	sew together	tuck
run up	chalk up
sew	tailor
tally	chalk up
lift	raise	elevate	get up	bring up	prove
print	impress	prove
lift	raise	elevate	get up	bring up	rear
rise	arise	lift	move up	come up	go up
lift	rise	hulk	loom	predominate	rear	tower
rise	rise up	come up	surface	swell	well
rise	arise	grow	develop	originate	spring up
rise up	arise	rebel
rise up	rear
light	light up	fire up
light	perch	alight
light	ignite
light	fall
live	survive	exist	subsist
survive	outlast	outlive
live	survive	hold up	hold out	last	endure	live on
locate	settle
make up	settle	patch up	reconcile
locate	base	situate
lock	engage	operate	mesh
lock	interlock
log	lumber
look	wait	await	expect
wait	waitress
look	regard
look	search	cruise
sail	cruise	navigate	voyage
pilot	navigate
look	glance	glint
look	appear	rear	seem
look	search	horn in	intrude	nose
look	face	confront	front
see	look	attend	minister	take care
work	minister
work	do work	occupy
work	do work	fag	labor	toil	travail
work	do work	farm
work	do work	job
work	do work	man
work	act
run	work	operate	go	double	function
operate	control	gate
serve	function	officiate
serve	represent
look at	consider	deal
look at	view
look on	think of	look upon	esteem	regard as	repute	take to be
think of	advert	cite	have in mind	mean	refer
look up	consult	refer
research	refer
search	explore	research
search	go	rifle
loosen	tease	tease apart
untie	undo	loosen
unwrap	undo
loosen	relax
lower	frown	glower
lower	turn down
lower	depress
press down	depress
make	do	cause	determine	influence	mold	regulate
make	do	cause	effect
make	do	cause	occasion
make	do	breed	cause	engender	spawn
make	do	cause	incite	motivate	prompt	propel
make	create	produce
prod	egg on	incite
poke	jab	prod	stab
shape	decide	determine	influence	mold	regulate
shape	determine	index	influence	mold	regulate
set	determine	identify
set	determine	value
set	assess	determine	tax
set	determine	price
task	tax
make	build	construct	rear
make	fix	cook	ready	cooked	prepare
make out	issue	write out
make out	do	fare	get along
make out	deal	contend	cope	get by	grapple	make do	manage
make out	spot	discern	distinguish	pick out	recognize	resolve	tell apart
mark	differentiate	distinguish
mark	commemorate
record	commemorate	immortalize	memorialize
spot	blemish
spot	blob	blot	fleck
make up	catch up with
make up	be	comprise	constitute	represent	was
make up	be	comprise	constitute	form	represent
spring	form	take form	take shape
make up	be	comprise	constitute	pose	represent
map	represent
march	demonstrate
protest	resist	demonstrate	dissent
resist	fend
mark	flag
mark	brand	denounce	stigmatize
mark	grade
marry	wed	conjoin	espouse	get married	hook up with
marry	wed	splice
splice	piece
nibble	piece
measure	appraise	assess	evaluate	rate	value
measure	appraise	assess	evaluate	praise	value
survey	appraise
survey	review	go over
refresh	brush up	review
refresh	freshen	freshen up
review	look back	retrospect
survey	canvas	canvass	poll
prune	trim	clip	snip	crop	dress	lop	cut back	poll
prune	trim	clip	snip	crop	dress	lop	cut back	top
pinch	tail	top
trim	shave
meet	assemble	gather	group
meet	assemble	crowd	crowd together	gather
meet	assemble	club	gather
melt	disappear	evaporate
molest	plague	beset	crucify	dun	frustrate	harass	harry	hassle	provoke	rag
move	strike	impress	affect	trouble
put out	bother	inconvenience	trouble
murmur	mutter	grumble	croak	gnarl
name	announce	identify
see	view	consider	identify	reckon	regard
name	bring up	mention	advert	appeal	cite	refer
observe	note	mention	remark
note	notice	mark
observe	note	take note
observe	bird
take down	note
name	appoint	constitute	nominate
need	require	want	wanted
notice	acknowledge	cite
respond	acknowledge	react
reply	answer	respond	field
thank	acknowledge	recognize
nuzzle	nose
observe	abide by	honor	respect
observe	keep	celebrate
watch	observe	follow	watch over	guard
protect	guard	ward
protect	charm
protect	fence in	surround	wall
open	unfold	spread	spread out	grass
operate	maneuver
order	dictate	prescribe
order	district	govern	regulate	zone
place	order	grade	range	rank	rate	sequence
place	locate	site
order	commission
organize	organise	coordinate	structure
organize	organise	form
organize	direct	organise	engineer	mastermind	orchestrate
organize	organise	unionize
plan	engineer	mastermind	orchestrate
out	come out	come out of the closet
pack	wad	bundle	compact
paint	ground	prime
pass	sink	lapse
sink	settle	founder	go down	go under
sink	subside
pass	travel by	go by	go past	pass by	surpass
pass	legislate
pass	slide by	elapse	glide by	go along	go by	lapse	slip away	slip by
pass	make it	ace	breeze through	nail	sweep through
turn up	locate	nail	pinpoint
turn up	turn out	ensue	prove	result
pay	pay up
pay	make up	pay off	compensate
pay off	buy off
pay	bear	yield	net
wear	bear
wear	wear down	wear off	wear out	wear thin
wear	hold out	endure
wear	don	put on	get into	assume	hat
put on	turn in
put on	apply	cream
put on	take in	fool	dupe	gull	kid	pull the leg of	put one across	put one over	slang
skim	cream	cream off	skim off
web	net
weave	net	tissue
weave	waver
pay	prefer
peck	nag
peck	peck at	pick at
pedal	bicycle	bike	cycle	wheel
peek	glance	glint
persuade	assure
persuade	charm	influence	tempt
persuade	sway
pet	gentle
pet	neck
pick up	turn around
pick up	catch
pick up	peck
pick up	hear	see	learn	discover	find out	get a line	get wind	get word
pick up	arrest	apprehend	collar	cop	nab	nail
pick up	lift up	elate	intoxicate	uplift
seize	apprehend	clutch	collar	cop	nab	nail
smash	blast	boom	nail
smash	dash
scare	dash	daunt	frighten away	frighten off	pall	scare away	scare off
soak	intoxicate
win	succeed	come through	bring home the bacon	nail	nail down	peg
sail through	ace	breeze through	nail	sweep through
win	succeed	come through	accomplish	attain	bring home the bacon
win	succeed	come through	arrive	bring home the bacon	go far
provide	bring home the bacon
pile up	accumulate	amass	conglomerate	gather
pile up	stack up	heap up
pitch	incline	slope
place	come out	come in
step up	come out	step forward	come forward	come to the fore	step to the fore
pop	come out	pop out	bug out	bulge	bulge out	protrude
pop	crop up	pop up
plant	implant	embed
plant	appoint	constitute	establish	found	institute	nominate
show	demonstrate	establish	prove
show	attest	bear witness	certify	demonstrate	evidence	prove	testify
play	take on	meet	confront	encounter
point	signal	indicate	bode	forecast	foreshadow	foretell	omen	predict
point	indicate	designate
point	aim	direct	target
point	orient
point	charge	level
point out	represent
present	lay out	reason	represent
present	stage	represent
say	tell	state	represent
say	tell	state	announce	declare
say	tell	state	remark
point out	comment	notice	criticize	pick apart	remark
point out	call attention
say	tell	state	supply
say	allege
say	suppose
say	read
read	scan
state	submit	posit	put forward
present	submit
present	pose
present	award
present	deliver
submit	pass on	relegate
tell	announce	foretell	harbinger	herald
think	guess	imagine	opine	reckon	suppose	suspect
speculate	theorize	conjecture	develop	formulate	hypothesize	suppose
speculate	hazard	venture
think	cogitate	conclude	reason	reason out
think	cogitate	evaluate	judge	pass judgment
think	cogitate	associate	link up	relate
think	cogitate	concentrate	pore	rivet
think	cogitate	devote
train	develop	educate	prepare
transmit	communicate	convey	pass along	pass on
put across	pass	acknowledge	communicate	pass along	pass on	receipt
put across	pass	communicate	message	pass along	pass on
transfer	communicate	convey
transfer	import
spell	import
transfer	export
spread	distribute	export
transfer	transplant
verify	affirm	swear	swan	assert	avow	declare
poke	pry	horn in	intrude	nose
polish	polish up	brush up	round	round off
polish	down	civilize	cultivate	educate	fine-tune	refine	school
swim	school
swim	float
swim	drown	drowned
tame	cultivate	domesticate	naturalize
tame	domesticate	reclaim
tweak	fine-tune
polish off	finish	eat up
ponder	meditate	ruminate	speculate	reflect	contemplate	chew over	mull	mull over	muse	think over
reflect	reverberate
shine	reflect
shine	gleam	glint	glisten	glitter
shine	beam	glow	radiate
shine	polish	smooth
smooth	smooth out
speculate	job
post	bill	placard
post	stake
put up	post
stake	impale
pound	pound up
pound	pound off
pound	ram	ram down
pound	lumber
pound	thump	beat
thump	thud
scrunch	thud
squat	crouch	scrunch	hunker	hunker down	scrunch up
thump	pound	poke
press	exhort	hurry	urge	urge on
press	advocate	exhort	preach	urge	urge on
press	weigh
press	compress	compact	constrict	contract
pretend	feign	affect	mouth	sham
touch	mouth
touch	stir
prise	prize	esteem	respect	value
prize	treasure	appreciate	recognize	value
pry	lever	prise	prize	jimmy
treasure	care for	cherish	hold dear
provide	cater	nourish	nurture	ply	supply	sustain
put up	provide
pull	draw	get out	take out	pull out
take out	pull up	pull out	extract	draw out
pull out	back down	back off	bow out	chicken out
take out	leave off	except	exclude	leave out	omit
shut	keep out	exclude	shut out
push	bear on
push	advertise	bill	promote
push	tug	drive	labor	strain	strive
push	crowd
tug	lug	tote
push	force	nose
thrust	force
thrust	pierce
push	press	fight	agitate	campaign	crusade
push	advertise	campaign	crusade	promote
put	assign
put	place	commit	fund	invest
put	place	commit	invest	job
roll up	collect	compile	pile up	accumulate	amass	fund	hoard
roll up	bundle	bundle up
roll up	wrap up
support	fund
take in	collect	farm
raise	grow	farm	produce
raise	bring up	nurture	parent	rear
raise	erect	put up	set up	rear
stand	stick out	put up	support	abide	bear	brook	digest	endure	stomach	suffer	tolerate
put up	can	tin
turn out	bear	fruit
use	employ	utilise	utilize	apply	assign
use	employ	utilise	utilize	apply	strain
sift	rice	sieve	strain
tense	strain	tense up
use	employ	utilise	utilize	apply	exercise	exert
use	employ	utilise	utilize	apply	implement
use	abuse	expend	misuse	pervert
shout	abuse
use	expend	occupy	use up
use	apply	practice
watch	see	view	take in
take in	ingest	absorb	assimilate
watch	look on
watch	look out	watch out
wield	exert	maintain
put in	break in	cut in	barge in	butt in	chime in	chisel in	disrupt	interrupt
put in	set up	instal	install
put in	submit
resign	submit	reconcile
set up	instal	install	establish
put in	throw in	come in	inject	interject
put out	smother
quench	squelch	quell
quench	allay	assuage
quench	blow out	snuff out	extinguish
relieve	alleviate	assuage	ease
quiet	calm	calm down	lull	quietly	still
quiet	calm	appease	assuage	calm down	gentle	lull	pacify	placate	still
quiet	calm	assure	calm down	lull	reassure	still
raise	elevate	advance	entitle	gentle	kick upstairs	promote	upgrade
raise	elevate	advance	favor	kick upstairs	prefer	promote	upgrade
see	view	consider	favor	reckon	regard
see	view	consider	esteem	reckon	regard	respect	value
see	view	consider	appreciate	reckon	regard	value
shut up	silence	hush	hush up	still
quiet	hush	pipe down	quiet down	quietly
stamp down	conquer	curb	hush up	inhibit	still	subdue	suppress
relieve	allay	ease	still
save	relieve	salvage
relieve	excuse	exempt	frank	let off
save	preserve	conserve	husband
save	bring through	carry through	pull through
save	lay aside	save up
save	make unnecessary
save	spare	favor
